RegionID,RegionName,City,State,Metro,CountyName,SizeRank,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01
192689,Paradise,Las Vegas,NV,Las Vegas,Clark,1,116000,117400,119600,122700,125300,127600,130400,133000,135000,137600,140600,143300,145400
112345,Maryvale,Phoenix,AZ,Phoenix,Maricopa,2,115800,116300,117500,119100,120900,123000,125200,127500,129600,131200,132300,133200,133800
270958,Upper West Side,New York,NY,New York,New York,3,1733100,1743400,1766100,1815000,1879300,1946200,1973700,1959300,1916900,1877100,1847200,1838700,1832600
27080,Sherman Oaks,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,4,616600,623300,631600,637500,640400,640900,637700,636400,638700,645700,654300,660900,663600
118208,South Los Angeles,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,5,388400,393000,397300,401200,405300,409700,413700,418300,423900,428600,432400,436300,439300
270957,Upper East Side,New York,NY,New York,New York,6,1674800,1687500,1725900,1786300,1857700,1913100,1944100,1955600,1915000,1850300,1806700,1777500,1751500
192820,Sunrise Manor,Las Vegas,NV,Las Vegas,Clark,7,87300,88200,89400,91100,92800,93900,96100,99200,102000,104400,107200,109700,111100
192796,Spring Valley,Las Vegas,NV,Las Vegas,Clark,8,117200,118600,120400,122400,124300,126000,128100,130700,133500,136300,138500,141000,143400
268496,Southeast Los Angeles,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,9,330700,336400,342500,346700,348000,348500,349000,350900,354400,358600,362300,365200,366200
41466,Van Nuys,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,10,444000,444000,447100,451300,453200,454900,457900,461900,465900,471800,478600,482800,483300
32059,Hollywood,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,11,712800,716200,718900,719900,722700,729800,735500,738400,742500,746900,752700,758400,760900
199001,Williamsburg,New York,NY,New York,Kings,12,1370100,1365900,1361500,1356300,1349400,1340800,1336500,1332400,1341000,1347300,1349000,1352900,1364300
273566,East Side,El Paso,TX,El Paso,El Paso,13,82900,83500,83900,84000,83900,83600,83500,84100,85000,85300,85600,86400,87000
267908,Camelback East,Phoenix,AZ,Phoenix,Maricopa,14,177300,178100,178800,180400,182600,184000,185000,186100,187500,189400,190000,189900,191000
275473,Southeast Dallas,Dallas,TX,Dallas-Fort Worth,Dallas,15,66500,66700,68400,70200,70500,69800,69000,68500,68400,68900,70600,72000,72500
25294,Jamaica,New York,NY,New York,Queens,16,357500,361400,368300,373300,376300,375700,373800,374200,377400,381700,386400,389300,390800
195267,Harlem,New York,NY,New York,New York,17,841500,843300,842500,847100,857100,867100,869700,866700,864400,868400,878200,890300,897900
